epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1309,1.83747,3.3277,0.9742,0.0104,0.06019,0.02262,0.0057,2.07973,3.92037,0.94171,0.000225,0.000225,0.000225
2,90.5769,1.54369,1.42522,0.91018,0.02252,0.19128,0.07508,0.02744,2.04524,3.20124,0.97162,0.000416713,0.000416713,0.000416713
3,131.566,1.50512,1.24038,0.89559,0.32877,0.21906,0.12945,0.04549,2.17481,2.49655,0.96692,0.0005614,0.0005614,0.0005614
4,172.963,1.43273,1.15914,0.88708,0.96086,0.18133,0.22557,0.12629,1.4633,1.74876,0.87097,0.000659063,0.000659063,0.000659063
5,215.261,1.40159,1.09366,0.87748,0.67922,0.19579,0.21614,0.11101,1.54499,1.67613,0.88901,0.0007097,0.0007097,0.0007097
6,258.996,1.38101,1.06936,0.87761,0.95765,0.21377,0.2432,0.13666,1.46988,1.19754,0.86877,0.00063125,0.00063125,0.00063125
7,300.114,1.38275,1.04808,0.87186,0.93366,0.20658,0.2246,0.12525,1.43458,1.26597,0.86813,0.0005075,0.0005075,0.0005075
8,340.716,1.29561,1.00558,0.86231,0.96354,0.21668,0.25489,0.14603,1.37377,1.08563,0.85679,0.00038375,0.00038375,0.00038375
9,381.848,1.29539,1.00374,0.86303,0.69916,0.25664,0.25847,0.15365,1.29832,1.06181,0.85543,0.00026,0.00026,0.00026
10,422.978,1.245,0.96375,0.86003,0.70253,0.27238,0.26094,0.15778,1.28914,1.00772,0.85474,0.00013625,0.00013625,0.00013625
